,Palabras,Ejemplos 
0,be,Will you be my friend?
1,and,You and I will always be friends.
2,of,Today is the first of November.
3,a,I saw a bear today.
4,in,She is in her room.
5,to,Let’s go to the park.
6,have,I have a few questions.
7,too,I like her too.
8,it,It is sunny outside.
9,I,I really like it here.
10,that,That door is open.
11,for,This letter is for you.
12,you,You are really nice.
13,he,He is my brother.
14,with,I want to go with you.
15,on,I watch movies on my iPad.
16,do,What will you do now?
17,say,Can I say something?
18,this,This is my favorite cookie.
19,they,They are here!
20,at,Can you pick me up at the mall?
21,but,I’m sorry but she’s away.
22,we,We are going to watch a movie.
23,his,This is his box.
24,from,This card came from my cousin.
25,that,That’s a really cool trick!
26,not,That’s not what I want.
27,can’t,I can’t open it.
28,won’t,I won’t open it.
29,by,Will you come by and see me?
30,she,She is very happy.
31,or,Do you like blue or yellow?
32,as,Her role as an English teacher is very important.
33,what,What are you thinking of?
34,go,I want to go there.
35,their,This is their house.
36,can,What can I do for you?
37,who,Who can help me?
38,get,Can you get me my eyeglasses?
39,if,What if I fail?
40,would,Would you help me out?
41,her,I have her book.
42,all,All my favorite books are on this shelf.
43,my,My mom is coming to visit.
44,make,Can we make our projects together?
45,about,What is this movie about?
46,know,Do you know where this place is?
47,will,I will help you find that place.
48,as,"As soon as she’s here, I’ll talk to her."
49,up,I live up in the mountains.
50,one,She is one of my English teachers.
51,time,There was a time I liked to play golf.
52,there,There are so many things I want to learn.
53,year,This is the year I’m finally going to learn English.
54,so,I am so sorry.
55,think,I think I need to lie down.
56,when,When will I see you again?
57,which,Which of these slippers are yours?
58,them,Please give this to them.
59,some,Please give them some of the apples I brought home.
60,me,Can you give me some apples?
61,people,There are so many people at the mall today.
62,take,Please take home some of these apples
63,out,Please throw the trash out.
64,into,My puppy ran into the woods.
65,just,Just close your eyes.
66,see,Did you see that?
67,him,I heard him singing earlier.
68,your,Your mom is here.
69,come,Can your mom and dad come to the party?
70,could,Could you help me with my project?
71,now,I want to watch this now.
72,than,I like this cake better than the other one you showed me.
73,like,I like this bag better than the other one you showed me.
74,other,I like these shoes better than the other ones you showed me.
75,how,How do I turn this on?
76,then,We had breakfast and then we went to church.
77,its,I need to read its manual.
78,our,This is our home now.
79,two,"Two cheeseburgers, please."
80,more,Can I have some more milk shake?
81,these,Do you like these ribbons?
82,want,Do you want these ribbons?
83,way,Can you look this way?
84,look,Please look this way.
85,first,She was my very first teacher.
86,also,She was also my best friend.
87,new,I have new shoes.
88,because,I am crying because I’m sad.
89,day,Today is National Friendship day.
90,more,I have more stickers at home.
91,use,How do I use this?
92,no,There’s no electricity now.
93,man,There’s a man outside looking for you.
94,find,Where can I find rare furniture?
95,here,My mom is here.
96,thing,One thing led to another.
97,give,Give her these pearls.
98,many,We shared many dreams together.
99,well,You know me so well.
100,only,You are my only friend here.
101,those,Those boots belong to my friend.
102,tell,Can you tell me which way to go?
103,one,She’s the one he’s been waiting for.
104,very,I’m very upset right now.
105,her,Her grandmother is sick.
106,even,She can’t even stand on her own.
107,back,I’ll be right back.
108,any –,Have you had any luck on your research?
109,good,You’re a good person.
110,woman,That woman looks so polished.
111,through,Your faith will see you through tough times.
112,us,Do you want to go with us?
113,life,This is the best day of my life.
114,child,I just saw a child cross the street by herself.
115,there,Did you go there?
116,work,I have to go to work.
117,down,Let’s go down.
118,may,You may take your seats.
119,after,Let’s have dinner after work.
120,should,Should I buy this dress?
121,call,"Call me when you get home, okay?"
122,world,I want to travel and see the world.
123,over,I can’t wait for this day to be over.
124,school,My cousin goes to school here.
125,still,I still think you should go.
126,try,Can you try to be nicer to him?
127,in,What’s in that box?
128,as,"As soon as I get home, I’m going to start watching that series."
129,last ,"This is my last slice of cake, I promise!"
130,ask,Can you ask the waiter to bring us some wine?
131,need,I need some wine tonight!
132,too,"I need some wine, too!"
133,feel,"I feel so tired, I just need to relax and unwind."
134,three ,I have three sisters.
135,when,When was the last time you saw them?
136,state,"Check out the state of that shed, it’s falling apart."
137,never,I’m never going to drink wine again.
138,become,Over the years we’ve become really close.
139,between,This is just between you and me.
140,high,Give me a high five!
141,really,I really like your painting!
142,something,I have something for you.
143,most,She’s the most beautiful girl I’ve ever seen.
144,another,"I’ll have another glass of wine, please."
145,much,I love you guys so much.
146,family,You are like family to me.
147,own,I want to get my own place.
148,out,Get out of my room.
149,leave,I want you to leave.
150,put,Please put down that book and listen to me.
151,old,I feel so old!
152,while,I can wait for you here while you shop.
153,mean,I didn’t mean to sound so angry.
154,on,Can you turn on the lights?
155,keep,Can we keep the lights on tonight?
156,student,I’ve always been a diligent student.
157,why,This is why I don’t go out anymore.
158,let,Why won’t you let him know how you feel?
159,great,This ice cream place is great for families with kids!
160,same,"Hey, we’re wearing the same shirt!"
161,big,I have this big crush on Brad Pitt.
162,group,The group sitting across our table is so noisy.
163,begin,Where do I begin with this huge project?
164,seem,"She may seem quiet, but she’s really outgoing once you get to know her."
165,country,Japan is such a beautiful country!
166,help,I need help with my Math homework.
167,talk,Can we talk in private?
168,where,Where were you last night?
169,turn,If only I could turn back time.
170,problem,The problem is we think we have plenty of time.
171,every,Every person has his own big goal to fulfill.
172,start,This is a great to start to learn the English language.
173,hand,Don’t let go of my hand.
174,might,This might actually work.
175,American,The American culture is so dynamic.
176,show,Can you show me how to use this vacuum cleaner?
177,part,This is my favorite part of the movie!
178,about,What is the story about?
179,against,I am so against domestic abuse!
180,place,This place is wonderful!
181,over,She kept saying this over and over again.
182,such,He is such an annoying person.
183,again,Can we play that game again?
184,few,Just a few more errands and I’m done!
185,case,What an interesting case you are working on now!
186,most,That’s the most interesting story I’ve ever heard.
187,week,I had a rough week.
188,company,Will you keep me company?
189,where,Where are we going?
190,system,What’s wrong with the airport’s system?
191,each,Can you give each of them an apple?
192,right,I’m right this time.
193,program,This community program for teens is really helpful.
194,hear,Did you hear that?
195,so,I’m so sleepy.
196,question,I have a question for you.
197,during,"During the session, I saw him fall asleep."
198,work,I have to work this weekend.
199,play,We can play soccer next weekend instead.
200,government,I hope the government does something about the poverty in this country.
201,run,"If you see a bear here, run for your life."
202,small,I have a small favor to ask you.
203,number,I have a number of favors to ask you.
204,off,Please turn off the television.
205,always,I always bring pepper spray with me.
206,move,Let’s move on to the next tourist spot.
207,like,I really like you.
208,night,The night is young.
209,live,I’m going to live like there’s no tomorrow.
210,Mr.,Mr. Morris is here.
211,point,You have a point.
212,believe ,I believe in you.
213,hold,Just hold my hand.
214,today,I’m going to see you today.
215,bring,Please bring a pen.
216,happen ,What will happen if you don’t submit your report on time?
217,next,This is the next best thing.
218,without,I can’t live without my phone.
219,before,Before I go to bed I always wash my face.
220,large,There’s a large amount of data online about that topic.
221,all,That’s all I know about Dinosaurs.
222,million,I have a million questions about this book.
223,must,We must watch this movie together.
224,home,Can we go home now?
225,under,I hid it under my bed.
226,water,I filled the tub with water.
227,room,His room is at the end of the corridor.
228,write,Can you write me a prescription for this?
229,mother,His mother is a very lovely woman.
230,area,This area of this house needs to be fixed.
231,national,That virus has become a national concern.
232,money,She needs money to buy her medicine.
233,story,She shared her story to the media.
234,young,She is so young and so hopeful.
235,fact,It’s a fact: shopping can improve your mood.
236,month,It’s that time of the month!
237,different,"Just because she’s different, it doesn’t mean she’s bad."
238,lot,You have a lot of explaining to do.
239,right,Turn right when you reach the corner.
240,study,Let’s study our English lessons together
241,book,Can I borrow your English book?
242,eye,She has the pink eye.
243,job,I love my job.
244,word,Describe yourself in one word.
245,though,"Though you are angry now, I’m sure you will forget about this later."
246,business,His business is thriving.
247,issue,This is not an issue for me.
248,side,"Whose side are you on, anyway?"
249,kind,"Always be kind, even to strangers."
250,four,There are four seasons in a year.
251,head,"Let’s head back, it’s freezing out here."
252,far,We’ve gone too far and now we’re lost.
253,black,"She has long, black hair."
254,long,"She has long, brown hair."
255,both,They both love chocolate ice cream.
256,little,I have two little boys with me now.
257,house,The house is so quiet without you.
258,yes,I hope you say yes.
259,after,"After all this time, he has finally learned to love."
260,since,"Ever since his mom died, he has been cranky and angry at the world."
261,long,That was such a long time ago.
262,provide,Please provide me with a list of your services.
263,service,Do you have a specific dental service to treat this?
264,around,We went around the block.
265,friend,You’re a good friend.
266,important,You’re important to me.
267,father,My father is so important to me.
268,sit,Let’s sit outside together.
269,away,He’s away right now.
270,until,Until when will you be away?
271,power,With great power comes great responsibility.
272,hour,I’ve been checking his temperature every hour.
273,game,Let’s play a game.
274,often,I buy from his bakery as often as I can.
275,yet,He’s not yet home.
276,line,There’s a long line at the grocery cashier.
277,political,I stay away from political discussions.
278,end,It’s the end of an era.
279,among,"Among all my pets, he’s my most favorite."
280,ever,Have you ever tried this cake?
281,stand,Can you stand still for a minute?
282,bad,What you did was so bad.
283,lose,I can’t lose you.
284,however,"I want to buy this bag, however, I need to save up for it first."
285,member,She’s a member of the babysitter’s club.
286,pay,Let’s pay for our groceries.
287,law,There’s a law against jay-walking.
288,meet,I want you to meet my aunt.
289,car,Let’s go inside my car.
290,city,This is the city that never sleeps.
291,almost,I’m almost done with my report.
292,include,Did you remember to include the summary in your report?
293,continue,Can we continue working tomorrow?
294,set,"Great, let me set an appointment for you."
295,later –,I’ll finish it later.
296,community,Our community is very tight knit.
297,much,There’s so much to learn in the English language.
298,name,What’s your name?
299,five,I can give you five reasons why you need to watch that video.
300,once ,I once had a puppy named Bark.
301,white,I love my white sneakers.
302,least,She’s the least productive among all the employees.
303,president ,She was our class president back in high school.
304,learn,I’d love to learn more about the English language.
305,real,What is her real name?
306,change,What can we change so that things will get better?
307,team,They hired a team to do the design of their new office.
308,minute,She’s laughing every minute of every day.
309,best,This is the best potato salad I’ve ever tasted.
310,several,I have several old clothes I need to donate.
311,idea,"It was your idea to go to the beach, remember?"
312,kid,I loved that toy when I was a kid.
313,body,She worked out hard to achieve a toned body.
314,information,This is the information I need.
315,nothing,There’s nothing we can do now. 
316,ago,"Three years ago, I visited Japan for the first time."
317,right,"You’re right, I want to go back there."
318,lead,Just lead the way and I’ll follow.
319,social,I feel awkward in these social gatherings.
320,understand,I understand how you feel.
321,whether,"Whether in big groups or small groups, I always feel a little shy at first."
322,back,"Looking back, I knew I was always an introvert."
323,watch,Let’s watch the sun set on the horizon.
324,together,They’re together now.
325,follow,I’ll follow you home.
326,around,You’ll always have me around.
327,parent,Every parent is trying hard and doing their best.
328,only,You are only allowed to go out today.
329,stop,Please stop that.
330,face,Why is your face so red?
331,anything,You can ask me for anything.
332,create,Did you create that presentation? It was so good.
333,public,This is public property.
334,already,I already asked him to resend his report.
335,speak,Could you speak a little louder?
336,others,The others haven’t arrived yet.
337,read,I read somewhere that this house is haunted.
338,level,What level are you in that game?
339,allow,Do you allow your kids to play outside the house?
340,add,Is it okay if we add a bit of sugar to the tea?
341,office,Welcome to my office.
342,spend,How much did you spend on your last shopping spree?
343,door,You left the door open.
344,health,You must take good care of your health.
345,person,You are a good person.
346,art,This is my work of art.
347,sure,Are you sure you want to do this alone?
348,such,You are such a brave little boy.
349,war,The war has finally ended.
350,history,She is my history professor.
351,party,Are you going to her party tonight?
352,within,We support everyone within our small community.
353,grow,We want everyone to grow and thrive in their careers.
354,result,The result of this outreach program is amazing.
355,open,Are you open to teaching on weekends?
356,change,Where can we change her diaper?
357,morning,It’s such a beautiful morning!
358,walk,Come take a walk with me.
359,reason,You are the reason I came home.
360,low,Her blood pressure has gotten really low.
361,win,We can win this match if we work together.
362,research,How is your research going?
363,girl ,That girl is in my class.
364,guy,I’ve seen that guy in school before.
365,early,I come to work so early every day.
366,food,"Let’s buy some food, I’m hungry!"
367,before,Can I talk to you before you go home?
368,moment,"The moment she walked in the room, her puppy started to jump and dance again."
369,himself,He cooked this Turkey himself.
370,air,I am loving the cold night air here.
371,teacher,You are the best teacher ever.
372,force,Don’t force him to play with other kids.
373,offer,Can I offer you a ride home?
374,enough,"Boys, that’s enough playing for today."
375,both,You both need to change into your sleep clothes now.
376,education,I just want you to get the best education.
377,across,Your dog ran across the park.
378,although,"Although she felt tired, she still couldn’t sleep."
379,remember ,Do you think she will still remember me after ten years?
380,foot,Her foot got caught in one of the ropes.
381,second,This is the second time she got late this month.
382,boy,There’s a boy in her class who keeps pulling her hair.
383,maybe,Maybe we can have ice cream for dessert.
384,toward,He took a step toward her.
385,able,Will you be able to send me your report today?
386,age,What is the average marrying age these days?
387,off –,The cat ran off with the dog.
388,policy,They have a generous return policy.
389,everything,Everything is on sale.
390,love,I love what you’re wearing!
391,process,"Wait, give me time to process everything you’re telling me."
392,music,I love music.
393,including,"Around 20 people attended, including Bob and Beth."
394,consider,I hope you consider my project proposal.
395,appear,How did that appear out of nowhere?
396,actually,I’m actually just heading out.
397,buy,I’m going to buy these shoes.
398,probably,He’s probably still asleep.
399,human,"Give him a break, he is only human."
400,wait,Is it alright if you wait for a few minutes?
401,serve,This blow dryer has served me well for years.
402,market ,Let’s visit the Sunday market.
403,die ,"I don’t want my cat to die, let’s take him to the vet please."
404,send,Please send the package to my address.
405,expect,You can’t expect much from their poor service.
406,home ,I can’t wait to go home!
407,sense,I did sense that something was not okay.
408,build,He is going to build his dream house.
409,stay,You can stay with me for a few weeks.
410,fall,"Be careful, you might fall."
411,oh,"Oh no, I left my phone at home!"
412,nation,We have to act as one nation.
413,plan,What’s your plan this time?
414,cut,Don’t cut your hair.
415,college,We met in college.
416,interest,Music is an interest of mine.
417,death,Death is such a heavy topic for me.
418,course,What course did you take up in college?
419,someone,Is there someone who can go with you?
420,experience,What an exciting experience!
421,behind,I’m scared to check what’s behind that door.
422,reach,"I can’t reach him, he won’t answer his phone."
423,local,This is a local business.
424,kill,Smoking can kill you.
425,six,I have six books about Psychology.
426,remain,These remain on the top shelf.
427,effect,"Wow, the effect of that mascara is great!"
428,use,Can I use your phone?
429,yeah,"Yeah, he did call me earlier."
430,suggest,He did suggest that to me.
431,class,We were in the same English class.
432,control,Where’s the remote control?
433,raise,It’s so challenging to discipline kids these days.
434,care,I don’t care about what you think.
435,perhaps,Perhaps we can arrive at a compromise.
436,little,There’s a little bird outside my window.
437,late,I am running late for my doctor’s appointment.
438,hard,That test was so hard.
439,field,"He’s over there, by the soccer field."
440,else,Is anyone else coming?
441,pass,Can we pass by the grocery store?
442,former,She was my former housemate.
443,sell,We can sell your old couch online.
444,major,It’s a major issue for the project.
445,sometimes,Sometimes I forget to turn off the porch lights.
446,require,They’ll require you to show your I.D.
447,along,Can I tag along your road trip?
448,development,This news development is really interesting.
449,themselves,They can take care of themselves.
450,report,I read her report and it was great!
451,role,She’s going to play the role of Elsa.
452,better,Your singing has gotten so much better!
453,economic,Some countries are facing an economic crisis.
454,effort,The government must make an effort to solve this.
455,up,His grades have gone up.
456,decide,Please decide where to eat.
457,rate,How would you rate the hotel’s service?
458,strong,They have strong customer service here!
459,possible,Maybe it’s possible to change their bathroom amenities.
460,heart,My heart is so full.
461,drug,She got the patent for the drug she has created to cure cancer.
462,show,Can you show me how to solve this puzzle?
463,leader,You are a wonderful leader.
464,light,Watch her face light up when you mention his name.
